model,pose,f1,precision,recall,support
DecisionTreeClassifier,balasana,0.5853658536585366,0.6,0.5714285714285714,21.0
SVC,balasana,0.6808510638297872,0.6153846153846154,0.7619047619047619,21.0
MLPClassifier,balasana,0.7142857142857143,0.7142857142857143,0.7142857142857143,21.0
KNeighborsClassifier,balasana,0.7234042553191489,0.6538461538461539,0.8095238095238095,21.0
QuadraticDiscriminantAnalysis,balasana,0.7500000000000001,0.7894736842105263,0.7142857142857143,21.0
RandomForestClassifier,balasana,0.8,0.8421052631578947,0.7619047619047619,21.0
AdaBoostClassifier,bhairavasana,0.0,0.0,0.0,14.0
QuadraticDiscriminantAnalysis,bhairavasana,0.0,0.0,0.0,14.0
DecisionTreeClassifier,bhairavasana,0.2608695652173913,0.3333333333333333,0.21428571428571427,14.0
SVC,bhairavasana,0.3333333333333333,0.75,0.21428571428571427,14.0
MLPClassifier,bhairavasana,0.4,0.45454545454545453,0.35714285714285715,14.0
GaussianNB,bhairavasana,0.4210526315789473,0.8,0.2857142857142857,14.0
KNeighborsClassifier,bhairavasana,0.6666666666666666,0.8,0.5714285714285714,14.0
RandomForestClassifier,bhairavasana,0.8461538461538461,0.9166666666666666,0.7857142857142857,14.0
AdaBoostClassifier,bharadvajasana i,0.0,0.0,0.0,16.0
QuadraticDiscriminantAnalysis,bharadvajasana i,0.0,0.0,0.0,16.0
DecisionTreeClassifier,bharadvajasana i,0.23076923076923075,0.3,0.1875,16.0
MLPClassifier,bharadvajasana i,0.42424242424242425,0.4117647058823529,0.4375,16.0
GaussianNB,bharadvajasana i,0.5581395348837209,0.4444444444444444,0.75,16.0
SVC,bharadvajasana i,0.6060606060606061,0.5882352941176471,0.625,16.0
RandomForestClassifier,bharadvajasana i,0.6875,0.6875,0.6875,16.0
KNeighborsClassifier,bharadvajasana i,0.8125,0.8125,0.8125,16.0
AdaBoostClassifier,bhekasana,0.0,0.0,0.0,12.0
QuadraticDiscriminantAnalysis,bhekasana,0.0,0.0,0.0,12.0
DecisionTreeClassifier,bhekasana,0.2105263157894737,0.2857142857142857,0.16666666666666666,12.0
GaussianNB,bhekasana,0.4761904761904762,0.5555555555555556,0.4166666666666667,12.0
RandomForestClassifier,bhekasana,0.6363636363636365,0.7,0.5833333333333334,12.0
MLPClassifier,bhekasana,0.7272727272727272,0.8,0.6666666666666666,12.0
KNeighborsClassifier,bhekasana,0.7368421052631579,1.0,0.5833333333333334,12.0
SVC,bhekasana,0.7368421052631579,1.0,0.5833333333333334,12.0
AdaBoostClassifier,bhujangasana,0.0,0.0,0.0,22.0
GaussianNB,bhujangasana,0.15384615384615383,0.17647058823529413,0.13636363636363635,22.0
DecisionTreeClassifier,bhujangasana,0.423076923076923,0.36666666666666664,0.5,22.0
QuadraticDiscriminantAnalysis,bhujangasana,0.5517241379310345,0.4444444444444444,0.7272727272727273,22.0
MLPClassifier,bhujangasana,0.6249999999999999,0.5769230769230769,0.6818181818181818,22.0
RandomForestClassifier,bhujangasana,0.6666666666666666,0.7,0.6363636363636364,22.0
KNeighborsClassifier,bhujangasana,0.7083333333333333,0.6538461538461539,0.7727272727272727,22.0
SVC,bhujangasana,0.7234042553191491,0.68,0.7727272727272727,22.0
AdaBoostClassifier,bhujapidasana,0.0,0.0,0.0,18.0
QuadraticDiscriminantAnalysis,bhujapidasana,0.39999999999999997,0.2692307692307692,0.7777777777777778,18.0
GaussianNB,bhujapidasana,0.4,0.5,0.3333333333333333,18.0
DecisionTreeClassifier,bhujapidasana,0.45,0.4090909090909091,0.5,18.0
RandomForestClassifier,bhujapidasana,0.5714285714285715,0.5882352941176471,0.5555555555555556,18.0
KNeighborsClassifier,bhujapidasana,0.5789473684210527,0.55,0.6111111111111112,18.0
SVC,bhujapidasana,0.6,0.5454545454545454,0.6666666666666666,18.0
MLPClassifier,bhujapidasana,0.6153846153846153,0.5714285714285714,0.6666666666666666,18.0
AdaBoostClassifier,bitilasana,0.0,0.0,0.0,26.0
DecisionTreeClassifier,bitilasana,0.28571428571428575,0.30434782608695654,0.2692307692307692,26.0
RandomForestClassifier,bitilasana,0.4444444444444444,0.5263157894736842,0.38461538461538464,26.0
KNeighborsClassifier,bitilasana,0.6181818181818182,0.5862068965517241,0.6538461538461539,26.0
QuadraticDiscriminantAnalysis,bitilasana,0.6181818181818182,0.5862068965517241,0.6538461538461539,26.0
MLPClassifier,bitilasana,0.6363636363636364,0.7777777777777778,0.5384615384615384,26.0
