Model,Pose,CvFold,F1,Precision,Recall,Support
DecisionTreeClassifier,adho mukha vriksasana,2,0.6956521739130435,0.6666666666666666,0.7272727272727273,11.0
QuadraticDiscriminantAnalysis,adho mukha vriksasana,2,0.6956521739130435,0.6666666666666666,0.7272727272727273,11.0
MLPClassifier,adho mukha vriksasana,1,0.7000000000000001,0.875,0.5833333333333334,12.0
QuadraticDiscriminantAnalysis,adho mukha vriksasana,1,0.7000000000000001,0.875,0.5833333333333334,12.0
SVC,adho mukha vriksasana,4,0.7142857142857143,0.625,0.8333333333333334,12.0
KNeighborsClassifier,adho mukha vriksasana,0,0.7333333333333334,0.6111111111111112,0.9166666666666666,12.0
KNeighborsClassifier,adho mukha vriksasana,4,0.7407407407407408,0.6666666666666666,0.8333333333333334,12.0
RandomForestClassifier,adho mukha vriksasana,1,0.761904761904762,0.8888888888888888,0.6666666666666666,12.0
MLPClassifier,adho mukha vriksasana,0,0.7692307692307692,0.7142857142857143,0.8333333333333334,12.0
RandomForestClassifier,adho mukha vriksasana,4,0.7826086956521738,0.8181818181818182,0.75,12.0
RandomForestClassifier,adho mukha vriksasana,0,0.8,0.7692307692307693,0.8333333333333334,12.0
RandomForestClassifier,adho mukha vriksasana,2,0.8333333333333333,0.7692307692307693,0.9090909090909091,11.0
KNeighborsClassifier,adho mukha vriksasana,2,0.88,0.7857142857142857,1.0,11.0
SVC,adho mukha vriksasana,2,0.88,0.7857142857142857,1.0,11.0
MLPClassifier,adho mukha vriksasana,2,0.9565217391304348,0.9166666666666666,1.0,11.0
SVC,agnistambhasana,0,0.0,0.0,0.0,6.0
AdaBoostClassifier,agnistambhasana,0,0.0,0.0,0.0,6.0
QuadraticDiscriminantAnalysis,agnistambhasana,0,0.0,0.0,0.0,6.0
SVC,agnistambhasana,1,0.0,0.0,0.0,7.0
AdaBoostClassifier,agnistambhasana,1,0.0,0.0,0.0,7.0
QuadraticDiscriminantAnalysis,agnistambhasana,1,0.0,0.0,0.0,7.0
SVC,agnistambhasana,2,0.0,0.0,0.0,7.0
AdaBoostClassifier,agnistambhasana,2,0.0,0.0,0.0,7.0
QuadraticDiscriminantAnalysis,agnistambhasana,2,0.0,0.0,0.0,7.0
AdaBoostClassifier,agnistambhasana,3,0.0,0.0,0.0,7.0
QuadraticDiscriminantAnalysis,agnistambhasana,3,0.0,0.0,0.0,7.0
AdaBoostClassifier,agnistambhasana,4,0.0,0.0,0.0,6.0
QuadraticDiscriminantAnalysis,agnistambhasana,4,0.0,0.0,0.0,6.0
DecisionTreeClassifier,agnistambhasana,3,0.2,0.3333333333333333,0.14285714285714285,7.0
SVC,agnistambhasana,3,0.25,1.0,0.14285714285714285,7.0
KNeighborsClassifier,agnistambhasana,3,0.30769230769230765,0.3333333333333333,0.2857142857142857,7.0
DecisionTreeClassifier,agnistambhasana,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
KNeighborsClassifier,agnistambhasana,0,0.3636363636363636,0.4,0.3333333333333333,6.0
DecisionTreeClassifier,agnistambhasana,0,0.3636363636363636,0.4,0.3333333333333333,6.0
DecisionTreeClassifier,agnistambhasana,2,0.36363636363636365,0.5,0.2857142857142857,7.0
RandomForestClassifier,agnistambhasana,3,0.36363636363636365,0.5,0.2857142857142857,7.0
GaussianNB,agnistambhasana,3,0.36363636363636365,0.5,0.2857142857142857,7.0
MLPClassifier,agnistambhasana,3,0.4,0.6666666666666666,0.2857142857142857,7.0
GaussianNB,agnistambhasana,1,0.4615384615384615,0.5,0.42857142857142855,7.0
SVC,agnistambhasana,4,0.5,1.0,0.3333333333333333,6.0
GaussianNB,agnistambhasana,0,0.5454545454545454,0.6,0.5,6.0
DecisionTreeClassifier,agnistambhasana,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,7.0
GaussianNB,agnistambhasana,4,0.5714285714285715,0.5,0.6666666666666666,6.0
RandomForestClassifier,agnistambhasana,0,0.6,0.75,0.5,6.0
MLPClassifier,agnistambhasana,0,0.6,0.75,0.5,6.0
KNeighborsClassifier,agnistambhasana,2,0.6250000000000001,0.5555555555555556,0.7142857142857143,7.0
GaussianNB,agnistambhasana,2,0.6250000000000001,0.5555555555555556,0.7142857142857143,7.0
KNeighborsClassifier,agnistambhasana,1,0.6666666666666666,0.625,0.7142857142857143,7.0
RandomForestClassifier,agnistambhasana,1,0.6666666666666666,0.8,0.5714285714285714,7.0
KNeighborsClassifier,agnistambhasana,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
MLPClassifier,agnistambhasana,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
MLPClassifier,agnistambhasana,2,0.7272727272727273,1.0,0.5714285714285714,7.0
RandomForestClassifier,agnistambhasana,4,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
MLPClassifier,agnistambhasana,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
RandomForestClassifier,agnistambhasana,2,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
AdaBoostClassifier,ananda balasana,0,0.0,0.0,0.0,12.0
AdaBoostClassifier,ananda balasana,1,0.0,0.0,0.0,12.0
AdaBoostClassifier,ananda balasana,4,0.0,0.0,0.0,12.0
AdaBoostClassifier,ananda balasana,2,0.14285714285714288,0.3333333333333333,0.09090909090909091,11.0
DecisionTreeClassifier,ananda balasana,0,0.47058823529411764,0.8,0.3333333333333333,12.0
DecisionTreeClassifier,ananda balasana,1,0.48000000000000004,0.46153846153846156,0.5,12.0
QuadraticDiscriminantAnalysis,ananda balasana,3,0.5,0.34375,0.9166666666666666,12.0
AdaBoostClassifier,ananda balasana,3,0.5454545454545454,0.6,0.5,12.0
QuadraticDiscriminantAnalysis,ananda balasana,4,0.5882352941176471,0.45454545454545453,0.8333333333333334,12.0
DecisionTreeClassifier,ananda balasana,2,0.631578947368421,0.75,0.5454545454545454,11.0
DecisionTreeClassifier,ananda balasana,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,12.0
QuadraticDiscriminantAnalysis,ananda balasana,2,0.6956521739130435,0.6666666666666666,0.7272727272727273,11.0
MLPClassifier,ananda balasana,0,0.7272727272727272,0.8,0.6666666666666666,12.0
DecisionTreeClassifier,ananda balasana,3,0.75,0.75,0.75,12.0
QuadraticDiscriminantAnalysis,ananda balasana,1,0.7741935483870968,0.631578947368421,1.0,12.0
KNeighborsClassifier,ananda balasana,3,0.7857142857142857,0.6875,0.9166666666666666,12.0
QuadraticDiscriminantAnalysis,ananda balasana,0,0.8148148148148148,0.7333333333333333,0.9166666666666666,12.0
MLPClassifier,ananda balasana,2,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
GaussianNB,ananda balasana,2,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
SVC,ananda balasana,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
RandomForestClassifier,ananda balasana,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
GaussianNB,ananda balasana,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
MLPClassifier,ananda balasana,3,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
GaussianNB,ananda balasana,3,0.8461538461538461,0.7857142857142857,0.9166666666666666,12.0
KNeighborsClassifier,ananda balasana,4,0.8461538461538461,0.7857142857142857,0.9166666666666666,12.0
SVC,ananda balasana,4,0.8461538461538461,0.7857142857142857,0.9166666666666666,12.0
MLPClassifier,ananda balasana,4,0.8461538461538461,0.7857142857142857,0.9166666666666666,12.0
GaussianNB,ananda balasana,4,0.8461538461538461,0.7857142857142857,0.9166666666666666,12.0
SVC,ananda balasana,3,0.8571428571428571,0.75,1.0,12.0
KNeighborsClassifier,ananda balasana,0,0.8695652173913043,0.9090909090909091,0.8333333333333334,12.0
KNeighborsClassifier,ananda balasana,2,0.8695652173913043,0.8333333333333334,0.9090909090909091,11.0
